id_w,i_h4,y2,age,y5,y8,y10,y11,y14,y17,k5,k23,k15,k31_3,k31_4,k31_6,k57,k66_r,m2_1,m2_2,m4,m5,m5_2_1,m7,reb,poyavlenie_child
2020,2,,29,7,1,3.0,1,2,2,1.0,,3.0,1.0,2.0,2.0,,25000.0,1.0,1.0,10.0,4.0,,5.0,False,False
2020,2,1.0,38,7,1,3.0,3,3,2,1.0,,1.0,1.0,2.0,2.0,,30000.0,2.0,,4.0,2.0,1.0,2.0,False,False
2020,2,1.0,42,7,1,3.0,2,2,2,1.0,,4.0,1.0,2.0,2.0,,92700.0,2.0,,8.0,4.0,,5.0,False,False
2020,2,,19,2,2,2.0,2,2,2,,,,,,,2.0,0.0,1.0,3.0,,,,2.0,True,False
2020,2,1.0,27,5,6,3.0,1,3,2,1.0,,3.0,1.0,2.0,2.0,,20000.0,4.0,,4.0,2.0,1.0,5.0,False,True
2020,2,,40,7,1,3.0,3,3,2,1.0,,4.0,1.0,2.0,2.0,,30000.0,2.0,,10.0,4.0,,1.0,False,False
2020,2,1.0,43,7,1,2.0,2,2,2,1.0,,4.0,1.0,2.0,2.0,,32000.0,7.0,3.0,,,,1.0,False,False
2020,2,,19,1,6,2.0,2,3,2,,,,,,,1.0,500.0,1.0,3.0,,,,5.0,True,False
2020,2,,42,1,2,2.0,2,3,1,,,,,,,8.0,42000.0,1.0,3.0,,,,1.0,False,False
2020,2,3.0,34,5,2,3.0,2,2,2,,,,,,,5.0,0.0,2.0,,9.0,3.0,1.0,1.0,False,False
2020,2,,34,5,3,2.0,1,3,1,3.0,,3.0,2.0,2.0,2.0,,24800.0,4.0,,10.0,3.0,2.0,4.0,False,False
2020,2,3.0,32,5,1,3.0,2,3,1,1.0,,4.0,1.0,2.0,2.0,,24000.0,6.0,3.0,,,,4.0,False,True
2020,2,1.0,43,7,1,2.0,2,2,2,1.0,,4.0,1.0,2.0,2.0,,,6.0,3.0,,,,1.0,False,False
2020,2,1.0,20,6,2,2.0,3,2,2,3.0,,4.0,2.0,2.0,2.0,,,1.0,2.0,6.0,2.0,1.0,4.0,True,False
2020,2,,34,7,2,2.0,1,2,2,1.0,,2.0,1.0,2.0,2.0,,0.0,2.0,,10.0,4.0,,6.0,False,False
2020,2,2.0,34,7,2,3.0,2,2,2,,,,,,,7.0,0.0,2.0,,10.0,4.0,,4.0,True,False
2020,2,,41,7,3,2.0,3,3,2,,,,,,,6.0,34000.0,7.0,3.0,,,,5.0,False,False
2020,2,3.0,25,7,2,2.0,3,2,2,3.0,,1.0,1.0,2.0,2.0,,8000.0,1.0,3.0,,,,4.0,True,False
2020,2,1.0,29,2,2,2.0,3,2,2,,,,,,,5.0,0.0,1.0,1.0,10.0,4.0,,4.0,True,True
2020,2,,28,6,6,2.0,3,2,2,,,,,,,6.0,0.0,1.0,3.0,,,,5.0,False,False
2020,2,,40,5,2,2.0,3,2,1,1.0,,1.0,2.0,2.0,2.0,,15000.0,2.0,,9.0,2.0,2.0,5.0,False,False
2020,2,,37,5,1,2.0,3,2,2,,,,,,,5.0,0.0,1.0,1.0,9.0,2.0,2.0,5.0,False,False
2020,2,,21,2,2,2.0,3,2,1,1.0,,1.0,1.0,2.0,2.0,,12000.0,1.0,1.0,10.0,4.0,,5.0,True,True
2020,2,3.0,22,6,2,2.0,3,1,1,,,,,,,6.0,0.0,1.0,1.0,9.0,2.0,1.0,5.0,True,False
2020,2,,42,6,2,2.0,3,2,2,,,,,,,5.0,0.0,4.0,,10.0,4.0,,4.0,False,False
2020,2,1.0,23,7,2,2.0,3,2,2,1.0,,3.0,1.0,2.0,2.0,,20000.0,1.0,3.0,,,,,True,True
2020,2,,32,7,2,2.0,2,2,2,1.0,,2.0,1.0,2.0,2.0,,45000.0,2.0,,10.0,4.0,,4.0,False,False
2020,2,3.0,36,5,6,2.0,3,2,1,,,,,,,6.0,0.0,2.0,,10.0,4.0,,4.0,True,False
2020,2,,37,7,1,2.0,3,2,1,1.0,,2.0,1.0,2.0,2.0,,2800.0,7.0,3.0,,,,5.0,False,False
2020,2,,26,5,2,2.0,3,2,2,1.0,,1.0,1.0,2.0,2.0,,15000.0,1.0,1.0,10.0,4.0,,5.0,True,False
2020,2,1.0,19,2,1,2.0,1,2,2,5.0,,4.0,2.0,2.0,2.0,,,1.0,3.0,,,,3.0,True,False
2020,2,,39,7,1,1.0,2,2,2,1.0,,5.0,1.0,1.0,1.0,,,6.0,3.0,,,,2.0,False,False
2020,2,1.0,28,7,1,2.0,3,2,2,1.0,,2.0,1.0,2.0,2.0,,25000.0,1.0,3.0,,,,,True,False
2020,2,,30,6,6,2.0,3,2,2,1.0,,2.0,1.0,2.0,2.0,,40000.0,1.0,3.0,,,,1.0,True,False
2020,2,,33,1,2,2.0,3,2,1,1.0,,2.0,1.0,2.0,2.0,,16000.0,6.0,3.0,,,,5.0,False,False
2020,2,,38,7,3,2.0,3,2,2,1.0,,2.0,1.0,2.0,2.0,,25000.0,2.0,,8.0,3.0,2.0,4.0,False,False
2020,2,,39,1,1,2.0,3,2,1,,,,,,,6.0,0.0,6.0,3.0,,,,5.0,False,False
2020,2,2.0,34,7,3,2.0,3,2,2,2.0,,,2.0,2.0,2.0,,20000.0,2.0,,8.0,2.0,1.0,3.0,False,False
2020,2,,39,6,1,2.0,3,2,1,,,,,,,5.0,0.0,2.0,,7.0,4.0,,4.0,False,False
2020,2,1.0,28,2,2,2.0,1,2,1,1.0,,1.0,1.0,2.0,2.0,,40000.0,2.0,,6.0,3.0,1.0,4.0,False,False
2020,2,1.0,39,7,1,2.0,2,3,2,1.0,,4.0,1.0,2.0,2.0,,32000.0,1.0,3.0,,,,5.0,False,False
