,device,gpa,semester,degree,age,sex,stress,coping_1,coping_2,coping_3,coping_4,coping_5,coping_6,coping_7,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,week_1,week_2,week_3,week_4,week_5,week_6,yesterday_1,yesterday_2,yesterday_3,yesterday_4,yesterday_5,yesterday_6,yesterday_typical,enough_1,enough_2,enough_3,enough_4,enough_5,enough_6,survey_time
244,pc/laptop,2.5,8.0,1.0,23.0,2.0,7.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,0.0,5.0,0.0,10.0,0.0,20.0,0.0,2.0,0.0,2.0,0.0,10.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,10.0
246,pc/laptop,2.0,3.0,1.0,20.0,1.0,3.0,4.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,18.0,5.0,0.0,3.0,6.0,24.0,4.0,2.0,0.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0
251,pc/laptop,2.0,6.0,1.0,19.0,2.0,6.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,6.5,10.0,13.5,14.0,5.0,28.0,4.5,2.0,3.5,2.0,0.0,7.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,15.0
254,mobile,2.0999999046325684,4.0,1.0,23.0,1.0,5.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,20.0,10.0,12.0,4.0,4.5,30.0,4.0,1.0,3.0,1.0,2.0,6.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,8.0
255,pc/laptop,2.0,10.0,2.0,24.0,1.0,5.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,4.0,5.0,3.0,7.0,7.0,10.0,30.0,3.0,0.0,6.0,1.0,0.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,10.0
257,pc/laptop,2.0999999046325684,6.0,1.0,22.0,1.0,6.0,3.0,4.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,3.0,1.0,4.0,4.0,3.0,2.0,6.0,8.0,3.0,20.0,30.0,0.0,1.0,8.0,1.0,4.0,6.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0
258,pc/laptop,2.5,6.0,1.0,23.0,2.0,5.0,3.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,2.0,22.0,8.0,21.0,2.0,12.0,30.0,9.0,2.0,0.0,1.0,1.0,6.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,15.0
259,pc/laptop,3.0,11.0,2.0,36.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,8.0,30.0,5.0,5.0,30.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0
260,mobile,2.0,4.0,1.0,21.0,2.0,5.0,3.0,2.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,17.0,10.0,16.0,10.0,12.0,30.0,8.0,2.0,0.0,1.0,4.0,9.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,15.0
261,pc/laptop,3.5,4.0,1.0,21.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,24.0,10.0,0.0,0.0,14.0,30.0,0.0,0.0,0.0,0.0,10.0,11.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0
265,pc/laptop,2.0999999046325684,12.0,2.0,25.0,2.0,6.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,4.0,4.0,5.0,10.0,20.0,10.0,10.0,30.0,0.0,0.0,8.0,3.0,4.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
