,id,a4a,a6a,a2,a0,b1,b5,b7a,d1a1x,g1a,BMj4c,j30_environment_pos,BMj5,n2a,n2e,n2b,n2f,n2i,n2p,BMGa1,BMGa2,BMGa4,BMGb1,BMGb2,BMGc2,BMGc5,BMGc7,BMGc8,BMGc16,BMGc18,BMGc23a,BMGc23b,BMGc23c,BMGc23d,BMGc23e,BMGc23f,BMGc23g,BMGc23h,BMGc23i,BMGc23j,BMGc24,BMGc25,BMGc27,BMGd6,BMGd7,BMGe1,BMGe2,BMGe2u,ecology_index
0,22,Готовые Металлические Изделия,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2007,0,Производство Готовых Строительных Металлических Изделий И Конструкций,0,0.5,4,0,4000000,3500000,500000,400000,,7700000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,1,1,0,0,1,1,1,0,Модернизация машин и оборудования,1,,0,0,100000,20000,Литры,4.0
1,29,Машины и оборудование,Крупный,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2002,0,Производство Насосов И Компрессоров,0,0.5,3,0,150000000,250000000,1000000,1000000,,410000000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,1,0,1,0,0,0,0,1,0,0,Модернизация машин и оборудования,0,Не является приоритетом по сравнению с другими инвестициями,0,0,160000,18500,Литры,3.0
2,34,Другое Производство,Средний,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2005,0,"Производство Алюминиевых И Медных Проводов, Силовых Кабелей",100,0.75,1,0,18000000,78000000,1800000,1200000,,100000000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,0,0,0,0,0,1,0,,0,Нехватка финансовых ресурсов,0,0,Не знаю,Не знаю,,0.0
3,50,Готовые Металлические Изделия,Малый,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2015,0,Строительство жилых и нежилых зданий,0,1.0,6,0,8000000,,370000,650000,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Операционный и/ или технический риск,0,0,Не знаю,Не знаю,,0.0
4,56,Другие Услуги,Малый,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2002,0,Оптовая Продажа Офисной Мебели,0,0.5,6,0,2000000,,500000,500000,,,1,0,0,0,0,Каждый квартал,,0,,0,0,Не применимо,0,1,1,0,0,0,Не применимо,1,0,Модернизация машин и оборудования,0,Нехватка финансовых ресурсов,0,0,100000,10000,Литры,
5,90,Другие Услуги,Средний,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1999,1,Оптовая Торговля Промышленным Электрооборудованием,0,1.0,9,0,90000000,,800000,Не знаю,,,0,0,0,0,0,Каждую неделю,,0,,1,0,0,0,0,1,0,0,0,0,0,0,,1,,0,0,Не знаю,Не знаю,,1.0
6,103,Другие Услуги,Средний,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2002,0,Гостиничная Деятельность,0,0.75,4,0,5000000,,500000,300000,,,0,0,0,0,0,Каждый квартал,,0,,0,0,0,0,1,1,0,0,0,0,1,0,Управление энергопотреблением,1,,0,0,80000,5500,Литры,2.0
7,126,Розничная торговля,Малый,Центральный Федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1994,0,"Розничная Торговля Запасными Частями и Комплектующими Для Стиральных Машин, Холодильников, Пылесосов, Другой Бытовой Техники.",Не применимо,1.0,7,0,5600000,,78000,288000,18000000,,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,0,0,1,0,0,0,1,0,"Минимизация отходов, вторичная переработка и управление отходами",0,Не знаю,0,0,7800,Не знаю,,1.0
8,135,Другое Производство,Крупный,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2005,0,"Компания производит Различные Резиновые изделия: Удлинители колесных арок автомобилей, Профили Для Модульных Грязеочистительных ковров, Светопрозрачные уплотнители Для Теплиц, Бассейнов, Противоскользящие накладки для ног, Уплотнения Для Воздуховодов Вентиляторных систем, Уплотнители для Ворот",100,1.0,2,0,63000000,120000000,7000000,1500000,,195000000,1,0,0,0,0,Каждый месяц,Каждый месяц,0,,1,0,1,0,1,1,1,1,1,0,1,0,"Минимизация отходов, вторичная переработка и управление отходами",1,,0,0,Не знаю,30000,Литры,6.0
9,139,Неметаллические Минеральные продукты,Средний,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2004,0,Производство товарного бетона,100,0.75,5,0,64000000,300000000,3000000,11000000,,480000000,0,0,0,0,0,Каждый квартал,Каждый квартал,0,,0,0,0,0,1,1,0,0,1,1,1,0,Модернизация машин и оборудования,1,,0,0,500000,200000,Литры,4.0
10,140,Неметаллические Минеральные продукты,Крупный,Центральный Федеральный округ,Производство,"Акционерное общество, акции которого обращаются на фондовом рынке",1993,0,"Производство железобетонных конструкций (Блоков, Плит перекрытия, Свай, Балок)",100,0.5,3,0,14000000,19000000,1000000,1500000,,43000000,0,0,0,0,0,Каждый квартал,,1,0,0,0,0,0,1,1,1,0,0,1,0,0,Модернизация машин и оборудования,1,,0,0,170000,25000,Литры,4.0
