,id,a4a,a6a,a2,a0,b1,b5,b7a,d1a1x,g1a,BMj4c,j30_environment_pos,BMj5,n2a,n2e,n2b,n2f,n2i,n2p,BMGa1,BMGa2,BMGa4,BMGb1,BMGb2,BMGc2,BMGc5,BMGc7,BMGc8,BMGc16,BMGc18,BMGc23a,BMGc23b,BMGc23c,BMGc23d,BMGc23e,BMGc23f,BMGc23g,BMGc23h,BMGc23i,BMGc23j,BMGc24,BMGc25,BMGc27,BMGd6,BMGd7,BMGe1,BMGe2,BMGe2u,ecology_index
2,34,Другое Производство,Средний,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2005,0,"Производство Алюминиевых И Медных Проводов, Силовых Кабелей",100,0.75,1,0,18000000,78000000,1800000,1200000,,100000000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,0,0,0,0,0,1,0,,0,Нехватка финансовых ресурсов,0,0,0,0,,0
3,50,Готовые Металлические Изделия,Малый,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2015,0,Строительство жилых и нежилых зданий,0,1.0,6,0,8000000,,370000,650000,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Операционный и/ или технический риск,0,0,0,0,,0
5,90,Другие Услуги,Средний,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1999,1,Оптовая Торговля Промышленным Электрооборудованием,0,1.0,9,0,90000000,,800000,Не знаю,,,0,0,0,0,0,Каждую неделю,,0,,1,0,0,0,0,1,0,0,0,0,0,0,,1,,0,0,0,0,,1
7,126,Розничная торговля,Малый,Центральный Федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1994,0,"Розничная Торговля Запасными Частями и Комплектующими Для Стиральных Машин, Холодильников, Пылесосов, Другой Бытовой Техники.",Не применимо,1.0,7,0,5600000,,78000,288000,18000000,,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,0,0,1,0,0,0,1,0,"Минимизация отходов, вторичная переработка и управление отходами",0,Не знаю,0,0,7800,0,,1
11,142,Розничная торговля,Средний,Центральный Федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1997,0,Розничная Продажа Офисной Техники,Не применимо,1.0,2,0,130000000,,470000,Не знаю,200000000,,0,0,0,0,0,Каждый квартал,,0,,1,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
13,145,Готовые Металлические Изделия,Средний,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2000,1,"Изготовление Вертикальных Стальных Резервуаров, Горизонтальных, Горизонтальных Подземных Резервуаров С Подогревом.",Не применимо,0.75,5,0,10200000,38400000,420000,450000,,50000000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,0,1,0,0,0,0,0,,0,Не знаю,0,0,0,0,,1
16,176,Розничная торговля,Малый,Центральный Федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2002,1,"Розничная торговля Продуктами питания И Товарами народного потребления, Непродовольственными Товарами",Не применимо,0.5,9,0,11000000,,12000,80000,8000000,,0,0,0,0,0,,,0,,0,0,1,0,1,0,0,0,0,0,0,0,Не знаю,0,Нехватка финансовых ресурсов,0,0,2000,0,,2
17,185,Готовые Металлические Изделия,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2002,0,Производство мечей,0,0.5,6,0,2000000,3000000,300000,100000,,Не знаю,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,1,0,,0,Не выгодно,0,0,0,0,,0
18,188,Розничная торговля,Малый,Центральный Федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1993,0,"Розничная Продажа Газовых Отопительных Котлов, Сантехнических Систем, Электрических Водогрейных Котлов, Сопутствующего Оборудования: Насосов, Шлангов, Клапанов и т.д.",Не применимо,0.5,3,0,4200000,,66000,900000,19200000,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,1,1,0,Модернизация транспортных средств,0,Не знаю,0,0,0,0,,1
20,211,Другие Услуги,Крупный,Центральный Федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2005,0,"Розничная Торговля Кухонной Мебелью, Аксессуарами, Текстилем, Посудой",Не применимо,1.0,4,0,93000000,,1800000,6500000,Не знаю,,1,0,0,0,0,Каждый месяц,,0,,1,0,0,0,0,1,1,0,1,0,1,0,"Минимизация отходов, вторичная переработка и управление отходами",0,Не знаю,0,0,0,0,,3
